date,symbol,open,high,low,close,volume,asset_type,fetched_at
2001-09-18,^GSPC,1038.77001953125,1046.4200439453125,1029.25,1032.739990234375,1650410000,index,2026-04-10T11:50:30.873478
2001-09-19,^GSPC,1032.739990234375,1038.9100341796875,984.6199951171875,1016.0999755859375,2120550000,index,2026-04-10T11:50:30.873669
2001-09-20,^GSPC,1016.0999755859375,1016.0999755859375,984.489990234375,984.5399780273438,2004800000,index,2026-04-10T11:50:30.873780
2001-09-21,^GSPC,984.5399780273438,984.5399780273438,944.75,965.7999877929688,2317300000,index,2026-04-10T11:50:30.873877
2001-09-24,^GSPC,965.7999877929688,1008.4400024414062,965.7999877929688,1003.4500122070312,1746600000,index,2026-04-10T11:50:30.873970
2001-09-25,^GSPC,1003.4500122070312,1017.1400146484375,998.3300170898438,1012.27001953125,1613800000,index,2026-04-10T11:50:30.874061
2001-09-26,^GSPC,1012.27001953125,1020.2899780273438,1002.6199951171875,1007.0399780273438,1519100000,index,2026-04-10T11:50:30.874150
2001-09-27,^GSPC,1007.0399780273438,1018.9199829101562,998.239990234375,1018.6099853515625,1467000000,index,2026-04-10T11:50:30.874252
2001-09-28,^GSPC,1018.6099853515625,1040.93994140625,1018.6099853515625,1040.93994140625,1631500000,index,2026-04-10T11:50:30.874534
2001-10-01,^GSPC,1040.93994140625,1040.93994140625,1026.760009765625,1038.550048828125,1175600000,index,2026-04-10T11:50:30.874694
2001-10-02,^GSPC,1038.550048828125,1051.3299560546875,1034.469970703125,1051.3299560546875,1289800000,index,2026-04-10T11:50:30.874798
2001-10-03,^GSPC,1051.3299560546875,1075.3800048828125,1041.47998046875,1072.280029296875,1650600000,index,2026-04-10T11:50:30.874892
2001-10-04,^GSPC,1072.280029296875,1084.1199951171875,1067.8199462890625,1069.6300048828125,1609100000,index,2026-04-10T11:50:30.874985
2001-10-05,^GSPC,1069.6199951171875,1072.3499755859375,1053.5,1071.3800048828125,1301700000,index,2026-04-10T11:50:30.875077
2001-10-08,^GSPC,1071.3699951171875,1071.3699951171875,1056.8800048828125,1062.43994140625,979000000,index,2026-04-10T11:50:30.875166
2001-10-09,^GSPC,1062.43994140625,1063.3699951171875,1053.8299560546875,1056.75,1227800000,index,2026-04-10T11:50:30.875256
2001-10-10,^GSPC,1056.75,1081.6199951171875,1052.760009765625,1080.989990234375,1312400000,index,2026-04-10T11:50:30.875344
2001-10-11,^GSPC,1080.989990234375,1099.1600341796875,1080.989990234375,1097.4300537109375,1704580000,index,2026-04-10T11:50:30.875476
2001-10-12,^GSPC,1097.4300537109375,1097.4300537109375,1072.1500244140625,1091.6500244140625,1331400000,index,2026-04-10T11:50:30.875667
2001-08-01,LUV,16.875641557392807,17.15548882036686,16.765399382422302,16.858680725097656,2056300,equity,2026-04-10T11:50:34.730481
2001-08-02,LUV,16.858679718234274,16.858679718234274,16.51099076431889,16.629714965820312,1174300,equity,2026-04-10T11:50:34.730870
2001-08-03,LUV,16.53642879350754,16.638192143925192,16.40922581859066,16.5279483795166,1017100,equity,2026-04-10T11:50:34.731054
2001-08-06,LUV,16.53643619227721,16.66363922410756,16.40923316044686,16.494035720825195,1111200,equity,2026-04-10T11:50:34.731165
2001-08-07,LUV,16.50250860231148,16.59579154701802,16.28202428887121,16.451627731323242,787800,equity,2026-04-10T11:50:34.731265
2001-08-08,LUV,16.34138904691672,16.595795073389308,16.22266483275199,16.332908630371094,902600,equity,2026-04-10T11:50:34.731361
2001-08-09,LUV,16.137865070943942,16.239626841912912,15.6884126663208,15.6884126663208,2252500,equity,2026-04-10T11:50:34.731455
2001-08-10,LUV,15.730816061219812,15.97674335218335,15.476409968993279,15.773218154907227,1961700,equity,2026-04-10T11:50:34.731545
2001-08-13,LUV,15.688412200519478,15.764734335217234,15.35768402847863,15.400084495544434,2069800,equity,2026-04-10T11:50:34.731667
2001-08-14,LUV,15.51880379235376,15.705369689649311,15.357680757837885,15.434002876281738,1696300,equity,2026-04-10T11:50:34.731764
2001-08-15,LUV,15.434005169450836,15.450964384700747,14.950631141662598,14.950631141662598,1359700,equity,2026-04-10T11:50:34.731855
2001-08-16,LUV,14.916710575502712,15.281360379029934,14.882788911233213,15.13719654083252,1820300,equity,2026-04-10T11:50:34.731944
2001-08-17,LUV,15.120236233953984,15.120236233953984,14.857349796628966,14.950631141662598,941400,equity,2026-04-10T11:50:34.732034
2001-08-20,LUV,15.349204067300594,15.722334334959916,15.120237656409135,15.6884126663208,1735800,equity,2026-04-10T11:50:34.732123
2001-08-21,LUV,15.866487572255817,15.883448396952494,15.111748665459649,15.264392852783203,1394300,equity,2026-04-10T11:50:34.732212
2001-08-22,LUV,15.179597854614258,15.391603415761033,15.060875257963765,15.179597854614258,1807000,equity,2026-04-10T11:50:34.732302
2001-08-23,LUV,15.22200523791621,15.408569614399928,15.137202660432836,15.21352481842041,1061800,equity,2026-04-10T11:50:34.732391
2001-08-24,LUV,15.179601783079333,15.841059887332602,15.128720888128925,15.773218154907227,1089600,equity,2026-04-10T11:50:34.732478
2001-08-27,LUV,15.603614180372078,15.722338434088583,15.47641112475939,15.493371963500977,1035900,equity,2026-04-10T11:50:34.732565
2001-08-28,LUV,15.28135863939403,15.535764622557682,15.009991826026457,15.434002876281738,1364300,equity,2026-04-10T11:50:34.732669
2001-08-29,LUV,15.306811936656871,15.357694472708229,15.060886148976259,15.128727912902832,963100,equity,2026-04-10T11:50:34.732757
2001-08-30,LUV,15.018466811245085,15.3831164806948,14.85734381762998,15.06934928894043,1875000,equity,2026-04-10T11:50:34.732844
2001-08-31,LUV,14.97180683706382,15.395937351529819,14.946360041670749,15.175389289855957,1225900,equity,2026-04-10T11:50:34.733314
2001-09-04,LUV,15.175381475073216,15.955781284529634,15.065108309987808,15.480755805969238,2026500,equity,2026-04-10T11:50:34.733447
2001-09-05,LUV,15.311115885495727,15.31959869268482,14.912433655188556,15.082086563110352,2927600,equity,2026-04-10T11:50:34.733546
2001-09-06,LUV,15.014224396037221,15.302633343246425,14.83608869667629,15.056636810302734,2255100,equity,2026-04-10T11:50:34.733664
2001-09-07,LUV,14.870018226554937,15.141461529928742,14.361061223764194,14.36954402923584,2464200,equity,2026-04-10T11:50:34.733760
2001-09-10,LUV,14.199886307469358,14.590087136292256,14.0217523071733,14.522226333618164,2309100,equity,2026-04-10T11:50:34.733852
2001-09-17,LUV,9.542935719856848,11.8756533402663,9.542935719856848,11.027392387390137,30977900,equity,2026-04-10T11:50:34.733942
2001-09-18,LUV,11.83324204021244,12.18102895757536,10.94256773418251,11.018911361694336,23183000,equity,2026-04-10T11:50:34.734032
